address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0xfae8243f05c70bb23f1fd2785a2bb483b9bb4f38,0,43,1806278,126226.7632,1856,1645475447.000000,184120048.2,190,38,9,0,19,7,0,1.342509,0.060207,0.014155,0.225123,0.087313,47,2.287847782145027,0.7858139437026734,0,-1.502033838,42,5,0.23076923076923078,0.7916666666666666,0.1875,0.8755439068465604,0.4190836120416156,0.24736842105263157,0.4709283906109812
0x1ccd4c09cd10341ade4627e8fd3e4c53e6f8ade8,0,4313,540614,272463.5,270216,1645572002.000000,331651015.6,154,2,5,0,1,1,0.407796,1.282509,0.845153,0.05,1.342509,0.342414,7,1.6903054041405898,1.7120694041405897,0,0.021763999999999895,6,2,1.6666666666666667,0.25,0.625,0.25874413195652773,0.6332869366934241,0.045454545454545456,0.41110787924957437
0x80e66be5df1b6d2bee6a3652e1854c68850ed9ff,0,0,1243984,26523.99368,0,1617734250.000000,10242166.62,513,1266,159,0,326,48,0,13.228859,0.199984,0,4.404163,0.236855,1425,253.17939544328357,37.65992882,0,-215.5194666,513,63,0.1254932912391476,0.8877980364656382,0.11150070126227209,0.8771647767209572,0.7965601404097157,2.7777777777777777,78.84980967291038
0x3f11b1f7338986e0327f873a9020089a9a65fa85,0,30,185,85,15027,1658259391.000000,415093152.3,25,4,4,0,3,1,0.131526,4.10007,1.860201,0.132068,4.1,1.860592,8,7.4408020822818965,7.442366040359193,0,0.001563958,7,2,0.8,0.4444444444444444,0.4444444444444444,0.46474914983238463,0.4646179309495765,0.32,1.4539485895637119
0xf50131d7d2b5239fe1e934658fe3f6131532a437,0,0,9313146,15791.95914,0,1524672763.000000,5654887.388,1590,2839,286,0,530,85,0,30,0.498591,0,30,1.011313,3125,1415.4993464841193,289.23557390007915,0,-1126.263773,1590,59,0.10070422535211268,0.9081893793985925,0.091490723,0.8613917024687502,0.7183141291177803,1.9654088050314464,315.89730847568455
0xd919ae7cbfb155fccd1c4d085e188d3bd2d05d07,0,0,91399,5104.78,0,1657052455.000000,937861.8475,49,50,1771,0,34,1442,0,5.804097,0.127313,0,3.757059,0.003495,1821,6.365669211005795,6.189391734813548,0,-0.176277476,37,397,34.72549019607843,0.027442371020856202,0.9720087815587267,0.9499946099108889,0.9926053787227047,37.16326530612245,2.315969186723365
0xb275483694d627242e77b95630168da4aec5da83,0,0,405251,6121.280022,0,1533127660.000000,1519643.932,745,8985,1015,0,684,241,0,28752.9274,73.82672,0,22555.43291,654.474546,10000,663333.0768,664291.6645613456,0,958.5878110845806,745,117,0.1129534831960828,0.8984101589841016,0.1014898510148985,0.9712383454997848,0.7865450701770383,13.422818791946309,2954.5130188393805
0x397c1885d0f388f0a823cb81803a5389b8b85980,0,49,173,105.8,3332364,1633562052.000000,331651772.6,286,5,5,0,1,1,0.04573,0.377273,0.163554,0.05,0.379547,0.16581,10,0.8177718734155534,0.8290495034155534,0,0.011277630000000038,9,2,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.39870031648543713,0.39242587389599753,0.034965035,0.12021039918788506
0xda18be1148efa827b027685f974856320c945269,0,12,186,106.285714,0,1657910193.000000,61467423.15,20,7,27,0,1,25,0.699165,2.672765,1.24038,0.09,1,0.3218,34,8.682659520000001,8.688599999999997,0,0.00594048,7,20,3.375,0.2,0.7714285714285715,0.23859705324932584,0.4949361654784496,1.7,0.581520308
0x58e38739cd5295b76615b89271cd9feb58bdb621,0,24,199,122.111111,265,1632141445.000000,92125399.67,303,18,18,0,1,4,0.016297,3.495846,0.687126,0.017898,3.5,0.689545,36,12.368268638838696,12.411813889826718,0,0.043545251,35,2,0.9473684210526315,0.4864864864864865,0.4864864864864865,0.6077258852914539,0.6054855590730186,0.1188118811881188,0.720112145
